sr_number,sr_type,sr_short_code,owner_department,status,origin,created_date,last_modified_date,closed_date,street_address,city,state,zip_code,street_number,street_direction,street_name,street_type,duplicate,legacy_record,community_area,ward,police_sector,police_district,police_beat,precinct,created_hour,created_day_of_week,created_month,x_coordinate,y_coordinate,latitude,longitude,location,created_department,electricity_grid,parent_sr_number,TIME_TO_CLOSE
SR23-01911771,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-03 12:51:25,2023-11-03T13:31:49.000,2023-11-03 12:51:25,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,12,6,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01735328,Street Light Pole Damage Complaint,SFK,CDOT - Department of Transportation,Completed,Phone Call,2023-10-08 16:03:04,2023-10-08T16:59:51.000,2023-10-08 16:59:51,1658 W DIVERSEY PKWY,Chicago,Illinois,,1658,W,DIVERSEY,PKWY,False,False,7,32,3,19,1931,27,16,1,10,1164518.889612641,1918643.205393194,41.93238124,-87.670831868,"{'latitude': '41.93238123983938', 'longitude': '-87.67083186761678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,L016,,0.9463888888888888
SR23-01757491,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-11 20:17:46,2023-10-11T20:30:56.000,2023-10-11 20:17:46,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,20,4,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01900140,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-01 19:50:11,2023-11-01T20:30:53.000,2023-11-01 19:50:11,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,19,4,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01933057,Building Violation,BBA,DOB - Buildings,Open,Alderman's Office,2023-11-07 10:34:42,2023-11-07T10:34:45.000,,5754 S TROY ST,Chicago,Illinois,60629,5754,S,TROY,ST,False,False,63,14,2,08,0824,5,10,3,11,1156300.516619642,1866074.030087879,41.788296001,-87.702453,"{'latitude': '41.788296000940115', 'longitude': '-87.70245300000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Alderman,I035,,
SR23-01689855,Street Light Out Complaint,SFD,CDOT - Department of Transportation,Completed,Mobile Device,2023-10-01 20:27:11,2023-10-03T05:51:11.000,2023-10-03 05:51:11,5201 S ROCKWELL ST,,,,5201,S,ROCKWELL,ST,False,False,63,14,2,09,0923,29,20,1,10,1160002.837430535,1870053.556014394,41.799141001,-87.6887685,"{'latitude': '41.79914100094014', 'longitude': '-87.6887685000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,J034,,33.4
SR23-01910301,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Mass Entry,2023-11-03 10:30:40,2023-11-03T10:30:49.000,2023-11-03 10:30:49,4302 S KEDZIE AVE,Chicago,Illinois,60632,4302,S,KEDZIE,AVE,False,False,58,12,2,08,0821,20,10,6,11,1155640.764532141,1875901.792860107,41.815278001,-87.7046085,"{'latitude': '41.81527800094024', 'longitude': '-87.70460850000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,H032,,0.0025
SR23-01875094,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-28 16:16:37,2023-10-28T16:31:10.000,2023-10-28 16:16:37,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,16,7,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01872146,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-28 01:00:49,2023-10-28T01:30:50.000,2023-10-28 01:00:49,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,1,7,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01750984,Recycling Pick Up,SRRP,Streets and Sanitation,Completed,Phone Call,2023-10-11 07:37:57,2023-10-12T13:19:44.000,2023-10-12 13:19:44,4901 N TALMAN AVE,Chicago,Illinois,60625,4901,N,TALMAN,AVE,False,False,4,40,3,20,2031,3,7,4,10,1157889.251854195,1932632.240846184,41.970906001,-87.694812,"{'latitude': '41.970906000940765', 'longitude': '-87.69481200000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,J010,,29.69638888888889
SR23-01918481,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-04 18:41:33,2023-11-04T19:30:54.000,2023-11-04 18:41:33,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,18,7,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01860917,Alley Pothole Complaint,PHB,CDOT - Department of Transportation,Open,Alderman's Office,2023-10-26 13:14:41,2023-10-27T13:24:33.000,,5736 W WAVELAND AVE,Chicago,Illinois,60634,5736,W,WAVELAND,AVE,False,False,15,38,3,16,1633,14,13,5,10,1137285.439897238,1924101.420922416,41.947893001,-87.770781,"{'latitude': '41.94789300094068', 'longitude': '-87.7707810000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Alderman,B013,,
SR23-01730582,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Mass Entry,2023-10-07 12:41:44,2023-10-07T12:41:51.000,2023-10-07 12:41:51,2743 W 36TH PL,Chicago,Illinois,60632,2743,W,36TH,PL,False,False,58,12,1,09,0911,2,12,7,10,1158452.386590308,1880205.867876187,41.827032001,-87.6941775,"{'latitude': '41.82703200094023', 'longitude': '-87.69417750000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,J030,,0.0019444444444444444
SR23-01779187,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-15 14:33:00,2023-10-15T15:31:19.000,2023-10-15 14:33:00,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,14,1,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01905461,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-02 14:36:30,2023-11-02T15:31:08.000,2023-11-02 14:36:30,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,14,5,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01790990,Tree Removal Request,SEE,Streets and Sanitation,Completed,Phone Call,2023-10-17 08:57:15,2023-10-18T09:26:32.000,2023-10-18 09:26:32,5101 N NATOMA AVE,Chicago,Illinois,60656,5101,N,NATOMA,AVE,False,False,10,41,1,16,1613,48,8,3,10,1131329.931213219,1933561.272055015,41.973957001,-87.792453,"{'latitude': '41.97395700094077', 'longitude': '-87.79245300000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,Z110,,24.488055555555555
SR23-01810334,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-19 09:52:37,2023-10-19T10:31:00.000,2023-10-19 09:52:37,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,9,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01795538,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-17 14:53:23,2023-10-17T15:31:40.000,2023-10-17 14:53:24,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,14,3,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01776366,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-14 22:17:57,2023-10-14T22:30:39.000,2023-10-14 22:17:57,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,22,7,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01738079,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-09 09:35:44,2023-10-09T10:31:52.000,2023-10-09 09:35:44,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,9,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01726715,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-06 14:41:27,2023-10-06T15:30:48.000,2023-10-06 14:41:27,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,14,6,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01698364,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-02 21:22:36,2023-10-02T21:31:11.000,2023-10-02 21:22:36,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,21,2,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01837655,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-23 13:33:40,2023-10-23T14:31:02.000,2023-10-23 13:33:40,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01699012,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-03 03:12:02,2023-10-03T03:30:38.000,2023-10-03 03:12:03,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,48,8,1,04,0412,19,3,3,10,1191025.792635467,1847684.489699362,41.737063818,-87.575723739,"{'latitude': '41.73706381755085', 'longitude': '-87.57572373871646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,U043,,0.0002777777777777778
SR23-01837884,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-23 13:54:00,2023-10-23T14:30:43.000,2023-10-23 13:54:00,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,71,18,2,22,2221,16,13,2,10,1166983.251461903,1846935.680648528,41.735556001,-87.6638295,"{'latitude': '41.735556000939916', 'longitude': '-87.66382950000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,L043,,0.0
SR23-01874421,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-28 13:49:57,2023-10-28T14:30:39.000,2023-10-28 13:49:57,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,7,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01931226,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-07 07:14:57,2023-11-07T07:30:58.000,2023-11-07 07:14:57,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,7,3,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01853119,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-25 13:14:44,2023-10-25T13:32:18.000,2023-10-25 13:14:44,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01823957,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-20 16:42:21,2023-10-20T17:33:14.000,2023-10-20 16:42:21,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,16,6,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01912390,Tree Trim Request (NO LONGER BEING ACCEPTED),SEF,Streets and Sanitation,Completed,Mass Entry,2023-11-03 13:45:50,2023-11-03T13:45:52.000,2023-11-03 13:45:52,816 W LAKESIDE PL,Chicago,Illinois,60640,816,W,LAKESIDE,PL,False,False,3,46,1,19,1914,21,13,6,11,1169820.077778281,1931861.617108098,41.968539001,-87.650964,"{'latitude': '41.968539000940744', 'longitude': '-87.6509640000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N011,,0.0005555555555555556
SR23-01776048,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-14 20:28:12,2023-10-14T20:31:06.000,2023-10-14 20:28:12,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,20,7,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01769074,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Salesforce Mobile App,2023-10-13 13:00:18,2023-10-16T11:35:27.000,2023-10-16 11:35:27,5300 S LOOMIS,Chicago,Illinois,60609,5300,S,LOOMIS,,False,False,61,20,3,09,0934,21,13,6,10,1167811.651219403,1869467.301771515,41.797368001,-87.6601485,"{'latitude': '41.79736800094016', 'longitude': '-87.66014850000192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Streets and Sanitation,M034,,70.58583333333333
SR23-01690427,Graffiti Removal Request,GRAF,Streets and Sanitation,Completed,Mobile Device,2023-10-01 22:47:24,2023-10-02T07:45:35.000,2023-10-02 07:45:35,3001 W 23RD ST,,,,3001,W,23RD,ST,False,False,30,25,3,10,1033,22,22,1,10,1156700.449047048,1888543.362908943,41.849946662,-87.700379698,"{'latitude': '41.849946661880246', 'longitude': '-87.70037969781224', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,I027,,8.969722222222222
SR23-01808492,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-19 07:38:29,2023-10-19T08:31:36.000,2023-10-19 07:38:29,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,7,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01866790,Tree Planting Request,SED,Streets and Sanitation,Open,Phone Call,2023-10-27 10:27:10,2023-10-27T10:27:14.000,,7105 S UNIVERSITY AVE,Chicago,Illinois,60619,7105,S,UNIVERSITY,AVE,False,False,69,5,2,03,0324,2,10,6,10,1185184.612800706,1858087.924175196,41.765751001,-87.5967975,"{'latitude': '41.76575100094003', 'longitude': '-87.5967975000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,S039,,
SR23-01869687,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-27 14:09:05,2023-10-27T14:33:00.000,2023-10-27 14:09:06,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,14,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01942799,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-08 13:20:05,2023-11-08T13:32:18.000,2023-11-08 13:20:05,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,13,4,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01708834,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-04 10:27:51,2023-10-04T10:32:52.000,2023-10-04 10:27:52,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,10,4,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01857354,Yard Waste Pick-Up Request,SCQ,Streets and Sanitation,Completed,Phone Call,2023-10-26 08:21:27,2023-10-27T10:56:27.000,2023-10-27 10:56:27,4621 N BEACON ST,Chicago,Illinois,60640,4621,N,BEACON,ST,False,False,3,46,1,19,1913,2,8,5,10,1166404.324424747,1930922.867045984,41.966037001,-87.6635505,"{'latitude': '41.96603700094075', 'longitude': '-87.6635505000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,M011,,26.583333333333332
SR23-01849142,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-25 07:35:27,2023-10-25T08:31:34.000,2023-10-25 07:35:27,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,7,4,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01897570,Tree Removal Request,SEE,Streets and Sanitation,Open,Alderman's Office,2023-11-01 13:16:19,2023-11-01T13:16:21.000,,5746 W AINSLIE ST,Chicago,Illinois,60630,5746,W,AINSLIE,ST,False,False,11,45,2,16,1622,28,13,4,11,1136874.565689927,1932068.563673109,41.969763001,-87.7720995,"{'latitude': '41.96976300094077', 'longitude': '-87.77209950000191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Alderman,B010,,
SR23-01834265,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-23 08:02:48,2023-10-23T08:31:52.000,2023-10-23 08:02:49,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,8,2,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0002777777777777778
SR23-01885230,Stray Animal Complaint,EAE,Animal Care and Control,Completed,Phone Call,2023-10-30 15:25:18,2023-11-27T18:51:33.000,2023-11-27 18:51:33,708 S KARLOV AVE,Chicago,Illinois,60624,708,S,KARLOV,AVE,False,False,26,24,3,11,1132,32,15,2,10,1149107.394670267,1896566.381322036,41.872113001,-87.72804,"{'latitude': '41.87211300094042', 'longitude': '-87.7280400000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,F024,,675.4375
SR23-01872049,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-27 23:58:15,2023-10-28T00:30:53.000,2023-10-27 23:58:15,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,23,6,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01875074,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-28 16:10:41,2023-10-28T16:30:58.000,2023-10-28 16:10:41,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,16,7,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01832173,Abandoned Vehicle Complaint,SKA,Streets and Sanitation,Completed,Mobile Device,2023-10-22 16:02:11,2023-10-22T17:03:34.000,2023-10-22 17:03:34,4879A N WINTHROP AVE,,,,4879A,N,WINTHROP,AVE,False,False,3,46,2,20,2024,4,16,1,10,1167998.149571555,1932880.334449056,41.971374017,-87.65763357,"{'latitude': '41.97137401679409', 'longitude': '-87.65763357010107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N010,,1.0230555555555556
SR23-01866805,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-27 10:28:29,2023-10-27T10:33:15.000,2023-10-27 10:28:29,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,10,6,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01812307,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-19 12:09:58,2023-10-19T12:32:34.000,2023-10-19 12:09:58,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,12,5,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01910562,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-03 10:53:59,2023-11-03T11:31:24.000,2023-11-03 10:53:59,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,10,6,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01859417,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-10-26 10:57:47,2023-10-26T11:32:32.000,2023-10-26 10:57:47,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,10,5,10,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01823530,Aircraft Noise Complaint,AVN,Aviation,Completed,Internet,2023-10-20 15:36:16,2023-10-20T16:31:09.000,2023-10-20 15:36:16,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,False,False,76,41,5,16,1654,27,15,6,10,1105376.767356118,1941043.788329337,41.994900001,-87.8877495,"{'latitude': '41.99490000094086', 'longitude': '-87.8877495000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,0.0
SR23-01930935,311 INFORMATION ONLY CALL,311IOC,311 City Services,Completed,Phone Call,2023-11-07 04:03:29,2023-11-07T04:30:33.000,2023-11-07 04:03:29,2111 W Lexington ST,Chicago,Illinois,60612,2111,W,Lexington,ST,False,False,28,28,2,12,1225,46,4,3,11,1162234.466875331,1896560.961621907,41.871834001,-87.679845,"{'latitude': '41.87183400094043', 'longitude': '-87.6798450000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,K024,,0.0
SR23-01692961,Garbage Cart Maintenance,SIE,Streets and Sanitation,Completed,Phone Call,2023-10-02 10:18:39,2023-11-13T09:24:04.000,2023-11-13 09:24:04,2314 N LOCKWOOD AVE,Chicago,Illinois,60639,2314,N,LOCKWOOD,AVE,False,False,19,36,1,25,2515,25,10,2,10,1140594.54215751,1914959.719481397,41.922747001,-87.7588425,"{'latitude': '41.9227470009406', 'longitude': '-87.7588425000019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",311 City Services,C017,,1007.0902777777778
